RNK,Player,Team Pos,F TEAM,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
624,Nicholas Cooper, FA RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
625,Mike Brown, Jac WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
626,Nick Johnson, StL WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
627,Lavasier Tuinei, Sea WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
628,Jermaine Kearse, Sea WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
629,Carson Wiggs, Sea K,FA,0/0,0,0,0,0,0,0,0,0,0,0
630,Eric Lair, FA TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
631,Royce Pollard, FA WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
632,Danny Noble, TB TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
633,Marc Tyler, FA RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
634,Matt Simms, NYJ QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
635,Brian Hernandez, FA WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
636,Derek Carrier, Phi WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
637,Saalim Hakim, NO WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
638,Marquette King, Oak P,FA,0/0,0,0,0,0,0,0,0,0,0,0
639,Kamar Jorden, FA WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
640,Dominique Jones, Ind TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
641,Jabin Sambrano, Ind WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
642,Tim Benford, Dal WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
643,Jonas Gray, Mia RB,FA,--/--,--,--,--,--,--,--,--,--,--,--
644,Tyler Urban, FA TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
645,Griff Whalen, Ind WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
646,Jarrett Boykin, GB WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
647,Beau Brinkley, Ten TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
648,Nelson Rosario, Car WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
649,Cole Beasley, Dal WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
650,Jeff Fuller, Mia WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
651,Andrew Szczerba, Atl TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
652,Derek Moye, Pit WR,FA,--/--,--,--,--,--,--,--,--,--,--,--
653,Kevin Elliott*, Buf WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
654,Marquis Maze, FA WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
655,Darius Hanks, FA WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
656,Matt Veldman*, Det TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
657,Donavon Kemp*, Sea WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
658,G.J. Kinne, Phi QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
659,Cody Johnson, FA RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
660,Joe Banyard, Min RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
661,Brandon Carswell, SF WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
662,Nick Stephens, Dal QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
663,Phillip Supernaw, Hou TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
664,Dale Moss, Car WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
665,Taveon Rogers, Cin WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
666,Justin Hilton, Ten WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
667,Giorgio Tavecchio, GB K,FA,0/0,0,0,0,0,0,0,0,0,0,0
668,Shawn Powell, Buf P,FA,0/0,0,0,0,0,0,0,0,0,0,0
669,Chris Owusu*, TB WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
670,Cory Harkey*, StL TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
671,Jewel Hampton, SF RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
672,D.J. Woods, FA WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
673,Gerell Robinson, Den WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
674,Drew Butler, Pit P,FA,0/0,0,0,0,0,0,0,0,0,0,0
675,Garrett Celek, SF TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
676,Josh Cooper, Cle WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
677,Brandon Barden, Ten TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
678,Nathan Palmer*, Ind WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
679,Devin Aguilar, FA WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
680,Aaron Corp*, Mia QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
681,Kashif Moore, Pit WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
682,Case Keenum, Hou QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
683,Dominique Davis, Atl QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
684,Marcus Jackson, Atl WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
685,Johnny Hekker, StL P,FA,0/0,0,0,0,0,0,0,0,0,0,0
686,Deangelo Peterson, Den TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
687,Adam Nissley, Atl TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
688,LaMark Brown, Min TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
689,James Rodgers, Atl WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
690,Collin Mooney, Ten RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
691,Michael Smith*, TB RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
692,John Potter, Wsh K,FA,0/0,0,0,0,0,0,0,0,0,0,0
693,Toney Clemons, Jac WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
694,Rishard Matthews, Mia WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
695,Greg Childs*, Min WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
696,Travis Benjamin, Cle WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
697,Brad Smelley, Cle TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
698,Jeremy Ebert, Jac WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
699,Brad Nortman, Car P,FA,0/0,0,0,0,0,0,0,0,0,0,0
700,Bradie Ewing, Atl RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
701,Dan Herron, Cin RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
702,B.J. Cunningham, Phi WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
703,Danny Coale, Dal WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
704,LaVon Brazill, Ind WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
705,Junior Hemingway, KC WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
706,B.J. Coleman, GB QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
707,Chandler Harnish, Ind QB,FA,0/0,0,0,0,0,0,0,0,0,0,0
708,Rhett Ellison, Min TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
709,Drake Dunsmore, FA TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
710,Jordan White*, NYJ WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
711,DeVier Posey, Hou WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
712,Bryan Anger, Jac P,FA,0/0,0,0,0,0,0,0,0,0,0,0
713,Devon Wylie, KC WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
714,Joe Adams, Car WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
715,Marvin McNutt, Mia WR,FA,0/0,0,0,0,0,0,0,0,0,0,0
716,Michael Egnew, Mia TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
717,Orson Charles, Cin TE,FA,0/0,0,0,0,0,0,0,0,0,0,0
718,Chris Rainey, FA RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
719,Tauren Poole, Car RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
720,Edwin Baker, SD RB,FA,0/0,0,0,0,0,0,0,0,0,0,0
