RNK,Player,Team Pos,F TEAM,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS
206,Greg Zuerlein, StL K,FA,0/0,0,0,0,0,0,0,0,0,0,127
207,Joseph Randle, Dal RB,FA,0/0,0,0,0,60,279,1,25,187,1,74.1
208,Knile Davis, KC RB,FA,0/0,0,0,0,77,314,2,8,56,0,57.7
209,Zac Stacy, StL RB,FA,0/0,0,0,0,43,187,2,8,51,0,42.6
210,Michael Turner, FA RB,FA,0/0,0,0,0,98,371,6,4,25,0,85.9
211,Zach Sudfeld, NE TE,FA,0/0,0,0,0,0,0,0,32,376,3,70.1
212,Tyler Eifert, Cin TE  ,FA,0/0,0,0,0,0,0,0,41,529,2,85.4
213,Mike Gillislee, Mia RB,FA,0/0,0,0,0,62,301,1,16,126,0,62.9
214,Stephen Hill, NYJ WR,FA,0/0,0,0,0,0,0,0,27,356,3,65.6
215,Alex Smith, KC QB,FA,217/361,2466,17,6,41,147,1,0,0,0,217.7
216,LaMichael James, SF RB,FA,0/0,0,0,0,41,190,3,15,105,1,63.6
217,Heath Miller*, Pit TE,FA,0/0,0,0,0,0,0,0,43,534,4,97.4
218,Donnie Avery, KC WR,FA,0/0,0,0,0,1,2,0,47,626,1,90.9
219,Jarius Wright, Min WR,FA,0/0,0,0,0,5,37,0,48,492,1,81.9
220,Julian Edelman, NE WR,FA,0/0,0,0,0,4,45,0,44,488,2,86.2
221,Toby Gerhart, Min RB,FA,0/0,0,0,0,71,287,1,20,145,1,70.8
222,Brandon Gibson, Mia WR,FA,0/0,0,0,0,2,14,0,34,403,4,82.9
223,Eddie Royal, SD WR,FA,0/0,0,0,0,2,14,0,43,506,2,85.7
224,Rashad Jennings, Oak RB,FA,0/0,0,0,0,85,372,1,18,130,0,70.7
225,Chris Polk, Phi RB,FA,0/0,0,0,0,40,205,0,6,35,0,31
226,Davone Bess, Cle WR,FA,0/0,0,0,0,0,0,0,52,525,2,89
227,Mohamed Sanu, Cin WR,FA,0/0,0,0,0,5,26,0,41,403,4,86.4
228,Jerome Simpson, Min WR,FA,0/0,0,0,0,0,0,0,27,349,2,58.9
229,Brandon Jackson, Cle RB,FA,0/0,0,0,0,37,154,1,14,121,1,48.7
230,Riley Cooper, Phi WR,FA,0/0,0,0,0,0,0,0,38,458,3,79.8
231,Jason Avant, Phi WR,FA,0/0,0,0,0,0,0,0,53,602,1,89.7
232,Doug Baldwin, Sea WR,FA,0/0,0,0,0,0,0,0,37,409,2,71.4
233,Dolphins ,Mia D/ST,FA,0/0,0,0,0,0,0,0,0,0,0,375.3
234,Kenny Stills, NO WR,FA,0/0,0,0,0,0,0,0,22,311,3,60.1
235,Deji Karim, Hou RB,FA,0/0,0,0,0,49,195,2,11,65,0,46.9
236,Willis McGahee, FA RB,FA,0/0,0,0,0,85,363,2,11,76,0,68.4
237,Zach Miller, Sea TE,FA,0/0,0,0,0,0,0,0,40,438,3,80.3
238,Beanie Wells, FA RB,FA,0/0,0,0,0,65,261,2,3,17,0,46.3
239,Cedric Benson, FA RB,FA,0/0,0,0,0,87,376,2,9,65,0,67.8
240,Justin Hunter, Ten WR,FA,0/0,0,0,0,0,0,0,23,326,2,54.6
241,Felix Jones, Pit RB,FA,0/0,0,0,0,50,222,0,18,117,0,46.4
242,Brandon Weeden, Cle QB,FA,249/448,3177,17,15,25,97,0,0,0,0,213.2
243,Ronnie Brown, SD RB,FA,0/0,0,0,0,37,145,0,35,265,0,60.7
244,Brent Celek, Phi TE,FA,0/0,0,0,0,0,0,0,47,590,1,87
245,Shaun Draughn, KC RB,FA,0/0,0,0,0,30,123,0,30,246,0,53.4
246,Andrew Hawkins*, Cin WR,FA,0/0,0,0,0,4,17,0,28,314,2,59.5
247,Andre Ellington, Ari RB,FA,0/0,0,0,0,26,135,0,13,104,1,39
248,Donald Brown, Ind RB,FA,0/0,0,0,0,56,220,0,7,68,0,36.4
249,Jake Locker, Ten QB,FA,209/378,2705,15,14,48,309,1,0,0,0,211.4
250,LeGarrette Blount, NE RB,FA,0/0,0,0,0,11,46,1,0,0,0,11.7
251,Brandon Lloyd, FA WR,FA,0/0,0,0,0,0,0,0,33,403,2,68.8
252,Denard Robinson, Jac RB,FA,0/0,0,0,0,23,100,1,14,120,1,43.3
253,Stepfan Taylor, Ari RB,FA,0/0,0,0,0,31,119,1,9,60,0,31.5
254,Terrance Williams, Dal WR,FA,0/0,0,0,0,0,0,0,34,410,1,64
255,Brandon Bolden, NE RB,FA,0/0,0,0,0,26,121,1,0,0,0,20.7
256,Markus Wheaton, Pit WR,FA,0/0,0,0,0,0,0,0,34,398,1,62.8
257,Delone Carter, Bal RB,FA,0/0,0,0,0,21,86,1,0,0,0,16.7
258,Josh Morgan, Wsh WR,FA,0/0,0,0,0,3,20,0,44,488,1,79.1
259,Percy Harvin*, Sea WR,FA,0/0,0,0,0,8,45,0,16,165,1,34.3
260,Mike James, TB RB,FA,0/0,0,0,0,52,203,2,11,66,0,48.1
261,Scott Chandler, Buf TE,FA,0/0,0,0,0,0,0,0,36,385,4,79
262,Christian Ponder, Min QB,FA,260/422,2679,17,13,51,204,1,0,0,0,216.8
263,Dallas Clark, Bal TE,FA,0/0,0,0,0,0,0,0,38,383,4,79.8
264,Michael Crabtree*, SF WR,FA,0/0,0,0,0,0,0,0,17,199,2,40.4
265,Leonard Hankerson, Wsh WR,FA,0/0,0,0,0,2,16,0,34,460,1,70.8
266,Jason Snelling, Atl RB,FA,0/0,0,0,0,17,66,0,25,187,1,45.5
267,Zach Ertz, Phi TE,FA,0/0,0,0,0,0,0,0,39,474,2,78.9
268,Rob Housler, Ari TE,FA,0/0,0,0,0,0,0,0,47,460,2,80
269,Dexter McCluster, KC WR,FA,0/0,0,0,0,14,76,0,56,476,1,87.6
270,T.J. Graham, Buf WR,FA,0/0,0,0,0,3,27,0,24,256,2,52.6
271,Bernard Scott*, Cin RB,FA,0/0,0,0,0,23,94,0,13,92,0,27.4
272,Jacoby Ford, Oak WR,FA,0/0,0,0,0,7,39,0,37,486,1,76.2
273,Rex Burkhead, Cin RB,FA,0/0,0,0,0,21,75,1,4,22,0,19.8
274,Cierre Wood, Hou RB,FA,0/0,0,0,0,16,66,0,2,17,0,10.9
275,Steven Hauschka, Sea K,FA,0/0,0,0,0,0,0,0,0,0,0,122
276,Anthony Allen, Bal RB,FA,0/0,0,0,0,14,54,0,2,14,0,9.2
277,Phillip Tanner, Dal RB,FA,0/0,0,0,0,34,136,1,5,41,0,29.6
278,Ed Dickson, Bal TE,FA,0/0,0,0,0,0,0,0,36,387,3,73.2
279,Harry Douglas, Atl WR,FA,0/0,0,0,0,1,4,0,38,404,1,65.9
